"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"GBM_5_AutoML_3_20260128_212415",85158850352.2085,7.25202979330985e+21,84999962624,0.0757204833489104,7.25202979330985e+21
"GBM_grid_1_AutoML_3_20260128_212415_model_3",85166677245.0639,7.25336291296488e+21,84999962624,0.0757232118926848,7.25336291296488e+21
"GBM_grid_1_AutoML_3_20260128_212415_model_1",85180234921.5409,7.2556724212889e+21,84999962624,0.0757281715337242,7.2556724212889e+21
"DRF_1_AutoML_3_20260128_212415",99168437775.9097,9.83437905091446e+21,84999962624,0.0873614982918175,9.83437905091446e+21
"XRT_1_AutoML_3_20260128_212415",100210780281.944,1.00422004847161e+22,84999962624,0.0883044423458554,1.00422004847161e+22
"GLM_1_AutoML_3_20260128_212415",327327879102.409,1.07143540437681e+23,316098950949.863,0.335647064183467,1.07143540437681e+23
