"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"GBM_5_AutoML_1_20260128_211750",2294808973534.93,5.26614822501643e+24,2294800221431.81,0.0679119663123814,5.26614822501643e+24
"GBM_grid_1_AutoML_1_20260128_211750_model_1",2679996943557.33,7.18238361747661e+24,2666051433296,0.0809899065762249,7.18238361747661e+24
"GBM_grid_1_AutoML_1_20260128_211750_model_3",3687243488378.52,1.35957645425898e+25,3491336781906,0.117330707479255,1.35957645425898e+25
"DRF_1_AutoML_1_20260128_211750",4688654548776.76,2.1983481477765e+25,4654466360934.4,0.141754625211957,2.1983481477765e+25
"XRT_1_AutoML_1_20260128_211750",5378041743894.1,2.89233329990675e+25,5359976075755.52,0.165229270980374,2.89233329990675e+25
"GLM_1_AutoML_1_20260128_211750",9048872384034.82,8.18820914225479e+25,8767111720015.89,0.29184600797951,8.18820914225479e+25
