"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"GBM_grid_1_AutoML_10_20260128_215039_model_1",514724070090.625,2.64940868330659e+23,514724070090.625,0.014401090292818,2.64940868330659e+23
"GBM_5_AutoML_10_20260128_215039",1058812868344.25,1.12108469017138e+24,1058812868344.25,0.0289872486864908,1.12108469017138e+24
"XRT_1_AutoML_10_20260128_215039",1421500838051.84,2.02066463258208e+24,1421500838051.84,0.0402868603233095,2.02066463258208e+24
"DRF_1_AutoML_10_20260128_215039",1577143747964.34,2.48738240174302e+24,1577143747964.34,0.0447981679654568,2.48738240174302e+24
"GBM_grid_1_AutoML_10_20260128_215039_model_3",1755850841326.75,3.08301217698786e+24,1755850841326.75,0.050003214914458,3.08301217698786e+24
"GLM_1_AutoML_10_20260128_215039",11766282976519.7,1.38445415083536e+26,11766282976519.7,0.395774000936182,1.38445415083536e+26
