"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"XRT_1_AutoML_7_20260128_213731",541001127034.883,2.92682219453013e+23,541001127034.883,0.00859699300165673,2.92682219453013e+23
"GBM_grid_1_AutoML_7_20260128_213731_model_1",688717316486.375,4.74331542028194e+23,688717316486.375,0.0109572379122085,4.74331542028194e+23
"GBM_5_AutoML_7_20260128_213731",901611767753.625,8.12903779751817e+23,901611767753.625,0.0141652072263945,8.12903779751817e+23
"DRF_1_AutoML_7_20260128_213731",1877143498634.97,3.52366771446753e+24,1877143498634.97,0.0301516651202185,3.52366771446753e+24
"GBM_grid_1_AutoML_7_20260128_213731_model_3",1882251606052.38,3.54287110848674e+24,1882251606052.38,0.0302349671798297,3.54287110848674e+24
"GLM_1_AutoML_7_20260128_213731",12869769509942.3,1.65630967239041e+26,12869769509942.3,0.227698404179836,1.65630967239041e+26
