"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"DRF_1_AutoML_12_20260128_215629",56666783015.8223,3.21112429736228e+21,56666783015.8223,0.00973384972131086,3.21112429736228e+21
"XRT_1_AutoML_12_20260128_215629",58095304704,3.3750644286506e+21,58095304704,0.00998046038944622,3.3750644286506e+21
"GBM_lr_annealing_selection_AutoML_12_20260128_215629_select_model",71055488478.75,5.04888244295377e+21,71055488478.75,0.0122206051494267,5.04888244295377e+21
"GBM_5_AutoML_12_20260128_215629",163391131640,2.66966618985998e+22,163391131640,0.0283275704463222,2.66966618985998e+22
"GBM_grid_1_AutoML_12_20260128_215629_model_1",227511270150.562,5.17613780455222e+22,227511270150.562,0.0396672590614635,5.17613780455222e+22
"GLM_1_AutoML_12_20260128_215629",736698535671.171,5.42724732460047e+23,736698535671.171,0.134596380091466,5.42724732460047e+23
