"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"DRF_1_AutoML_8_20260128_214042",39047637050.5146,1.52471795922872e+21,39047637050.5146,0.00483235294195694,1.52471795922872e+21
"XRT_1_AutoML_8_20260128_214042",86666602086.4004,7.51109991720246e+21,86666602086.4004,0.0106427449931132,7.51109991720246e+21
"GBM_lr_annealing_selection_AutoML_8_20260128_214042_select_model",154861619658.875,2.39821212433701e+22,154861619658.875,0.01893825224791,2.39821212433701e+22
"GBM_5_AutoML_8_20260128_214042",259457763146.875,6.73183308571799e+22,259457763146.875,0.0315295022979534,6.73183308571799e+22
"GBM_grid_1_AutoML_8_20260128_214042_model_1",280329655434.875,7.85847157162357e+22,280329655434.875,0.0340231902385497,7.85847157162357e+22
"GLM_1_AutoML_8_20260128_214042",1617830822837.03,2.61737657132154e+24,1617830822837.03,0.222808856569149,2.61737657132154e+24
