"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"GBM_grid_1_AutoML_9_20260128_214348_model_1",17229087499.75,2.96841456074042e+20,17229087499.75,0.00387921969874583,2.96841456074042e+20
"GBM_5_AutoML_9_20260128_214348",78629471984.25,6.18259386452196e+21,78629471984.25,0.0175152535760539,6.18259386452196e+21
"GBM_grid_1_AutoML_9_20260128_214348_model_3",153117523365.648,2.34449759616299e+22,153117523365.648,0.0350143436026222,2.34449759616299e+22
"DRF_1_AutoML_9_20260128_214348",171428319817.143,2.93876688353287e+22,171428319817.143,0.0392848638284775,2.93876688353287e+22
"XRT_1_AutoML_9_20260128_214348",231249742397.44,5.34764433588823e+22,231249742397.44,0.0533651621647735,5.34764433588823e+22
"GLM_1_AutoML_9_20260128_214348",1125356607727.65,1.26642749455629e+24,1125356607727.65,0.291541694857099,1.26642749455629e+24
