"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"GBM_grid_1_AutoML_11_20260128_215330_model_1",1712317.43768574,2932031007402.67,1398101.33333333,2.83941528197471e-07,2932031007402.67
"GBM_5_AutoML_11_20260128_215330",1738866.57808585,3023656976384,1572864,2.88315907750174e-07,3023656976384
"GBM_grid_1_AutoML_11_20260128_215330_model_3",1816186.90759734,3298534883328,1747626.66666667,3.01057929230211e-07,3298534883328
"DRF_1_AutoML_11_20260128_215330",163298886808.387,2.66665264328583e+22,133333099256.303,0.0279293053114534,2.66665264328583e+22
"XRT_1_AutoML_11_20260128_215330",163299076506.181,2.66665883877716e+22,133333363799.007,0.0279293367868867,2.66665883877716e+22
"GLM_1_AutoML_11_20260128_215330",347211041036.892,1.20555507017922e+23,288888869774.17,0.0572434508083389,1.20555507017922e+23
