"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"GBM_grid_1_AutoML_5_20260128_213038_model_3",102318.047205759,10468982784,81920,4.10567364722836e-07,10468982784
"GBM_grid_1_AutoML_5_20260128_213038_model_1",102318.047205759,10468982784,81920,4.10567364722836e-07,10468982784
"GBM_5_AutoML_5_20260128_213038",103621.514368397,10737418240,87381.3333333333,4.17267000134876e-07,10737418240
"DRF_1_AutoML_5_20260128_213038",22453643190.6953,5.04166092535059e+20,18333338914.468,0.117746924729482,5.04166092535059e+20
"XRT_1_AutoML_5_20260128_213038",22453650517.6995,5.04166421570989e+20,18333335302.1351,0.117746959453854,5.04166421570989e+20
"GLM_1_AutoML_5_20260128_213038",46963343005.6851,2.20555558626963e+21,38888891107.5047,0.217403756541124,2.20555558626963e+21
