"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"XRT_1_AutoML_4_20260128_212739",159229396348.343,2.53540006614576e+22,159229396348.343,0.0432801436372934,2.53540006614576e+22
"DRF_1_AutoML_4_20260128_212739",170066579104.914,2.8922641328448e+22,170066579104.914,0.046158816595181,2.8922641328448e+22
"GBM_lr_annealing_selection_AutoML_4_20260128_212739_select_model",242817502996.5,5.89603397614553e+22,242817502996.5,0.0652719775507578,5.89603397614553e+22
"GBM_grid_1_AutoML_4_20260128_212739_model_3",359139356948.5,1.28981077709382e+23,359139356948.5,0.0950928231120045,1.28981077709382e+23
"GBM_5_AutoML_4_20260128_212739",401577874708.5,1.61264789455396e+23,401577874708.5,0.105754907694426,1.61264789455396e+23
"GLM_1_AutoML_4_20260128_212739",1897581256939.38,3.60081462668762e+24,1897581256939.38,0.74888382825273,3.60081462668762e+24
