"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"GBM_5_AutoML_6_20260128_213419",220803534055.83,4.87542006515441e+22,193229252278.375,0.0349662666574327,4.87542006515441e+22
"GBM_grid_1_AutoML_6_20260128_213419_model_3",232310871697.418,5.39683411088143e+22,216903586462,0.0369899487983358,5.39683411088143e+22
"GBM_grid_1_AutoML_6_20260128_213419_model_1",248510504946.281,6.17574710686557e+22,241450510356,0.039788565479203,6.17574710686557e+22
"DRF_1_AutoML_6_20260128_213419",359335908723.477,1.29122295298127e+23,257068053299.2,0.05756346770937,1.29122295298127e+23
"XRT_1_AutoML_6_20260128_213419",362035210961.919,1.31069493976241e+23,256510496312.889,0.058013802521782,1.31069493976241e+23
"GLM_1_AutoML_6_20260128_213419",1502786171080.05,2.25836627598944e+24,1472537369390.62,0.274296995148015,2.25836627598944e+24
