"epoch","loss","mae","val_loss","val_mae"
1,0.476228505373001,0.652528047561646,NA,NA
2,0.41910982131958,0.612432897090912,NA,NA
3,0.378353208303452,0.577409625053406,NA,NA
4,0.359882950782776,0.567187011241913,NA,NA
5,0.321351081132889,0.527070045471191,NA,NA
6,0.258732199668884,0.475876897573471,NA,NA
7,0.251719385385513,0.464124351739883,NA,NA
8,0.200225293636322,0.415867418050766,NA,NA
9,0.180835619568825,0.386992424726486,NA,NA
10,0.131360128521919,0.329186201095581,NA,NA
11,0.126677989959717,0.323259651660919,NA,NA
12,0.118192665278912,0.309972733259201,NA,NA
13,0.0998834297060966,0.267969697713852,NA,NA
14,0.0480650514364243,0.177814498543739,NA,NA
15,0.0348711870610714,0.150003284215927,NA,NA
16,0.0404460467398167,0.152766659855843,NA,NA
17,0.00743401376530528,0.0668260231614113,NA,NA
18,0.0194091238081455,0.105986796319485,NA,NA
19,0.0123254647478461,0.0964993834495544,NA,NA
20,0.0141522511839867,0.101323954761028,NA,NA
21,0.0162603687494993,0.117979772388935,NA,NA
22,0.00437165563926101,0.0390623211860657,NA,NA
23,0.00880124885588884,0.0773995444178581,NA,NA
24,0.0170609820634127,0.118104845285416,NA,NA
25,0.0183068923652172,0.112501263618469,NA,NA
26,0.0111189335584641,0.0875608548521996,NA,NA
27,0.0216835867613554,0.120985619723797,NA,NA
28,0.00963260512799025,0.0845769867300987,NA,NA
29,0.00574392033740878,0.0605904310941696,NA,NA
30,0.0117108477279544,0.0943090915679932,NA,NA
31,0.0243471618741751,0.109299726784229,NA,NA
32,0.0175153743475676,0.104414887726307,NA,NA
33,0.0228829979896545,0.111598305404186,NA,NA
34,0.0389783345162868,0.151771798729897,NA,NA
35,0.0229045525193214,0.120041973888874,NA,NA
36,0.012829601764679,0.0886944532394409,NA,NA
37,0.0144794015213847,0.11252898722887,NA,NA
38,0.0205095447599888,0.116540670394897,NA,NA
39,0.0240235701203346,0.109299033880234,NA,NA
40,0.013398714363575,0.108361519873142,NA,NA
41,0.00708112353459001,0.0795229151844978,NA,NA
42,0.0217698272317648,0.0907009243965149,NA,NA
