"epoch","loss","mae","val_loss","val_mae"
1,0.480130970478058,0.636815845966339,NA,NA
2,0.399395078420639,0.594747185707092,NA,NA
3,0.393048197031021,0.579746842384338,NA,NA
4,0.354735761880875,0.549225687980652,NA,NA
5,0.302024066448212,0.507390022277832,NA,NA
6,0.268523186445236,0.474707096815109,NA,NA
7,0.255400419235229,0.454603135585785,NA,NA
8,0.193684220314026,0.390610158443451,NA,NA
9,0.180175989866257,0.366395622491837,NA,NA
10,0.143651738762856,0.335869014263153,NA,NA
11,0.134818613529205,0.299801915884018,NA,NA
12,0.0780394598841667,0.242434233427048,NA,NA
13,0.106814444065094,0.280619293451309,NA,NA
14,0.079803541302681,0.228331834077835,NA,NA
15,0.0832956358790398,0.232839673757553,NA,NA
16,0.027608048170805,0.127113714814186,NA,NA
17,0.031414482742548,0.160321310162544,NA,NA
18,0.0199286937713623,0.128685861825943,NA,NA
19,0.0184533540159464,0.120591081678867,NA,NA
20,0.0131370956078172,0.0870171189308167,NA,NA
21,0.011251580901444,0.0899383872747421,NA,NA
22,0.0167952869087458,0.104560717940331,NA,NA
23,0.00681657250970602,0.0770056694746017,NA,NA
24,0.0336789712309837,0.15256479382515,NA,NA
25,0.0440328903496265,0.184996291995049,NA,NA
26,0.0155489845201373,0.100554451346397,NA,NA
27,0.0136565137654543,0.0996892601251602,NA,NA
28,0.0246109664440155,0.129877030849457,NA,NA
29,0.0184184871613979,0.10103502124548,NA,NA
30,0.0353599935770035,0.169120445847511,NA,NA
31,0.0297996401786804,0.158211573958397,NA,NA
32,0.032554030418396,0.149468511343002,NA,NA
33,0.0288589913398027,0.134280696511269,NA,NA
34,0.0288953743875027,0.154008895158768,NA,NA
35,0.0129683362320065,0.0840459018945694,NA,NA
36,0.0234777759760618,0.11950197070837,NA,NA
37,0.030316736549139,0.135088592767715,NA,NA
38,0.0186873339116573,0.116272374987602,NA,NA
39,0.0315863415598869,0.150282114744186,NA,NA
40,0.0564493760466576,0.177773267030716,NA,NA
41,0.032628808170557,0.150854676961899,NA,NA
42,0.0099311787635088,0.0824670642614365,NA,NA
43,0.0185168292373419,0.120218709111214,NA,NA
