"epoch","loss","mae","val_loss","val_mae"
1,0.44017705321312,0.63591605424881,NA,NA
2,0.393645018339157,0.602181315422058,NA,NA
3,0.341846197843552,0.552838921546936,NA,NA
4,0.274409055709839,0.49649566411972,NA,NA
5,0.253802061080933,0.473471909761429,NA,NA
6,0.210396766662598,0.432675689458847,NA,NA
7,0.166768684983253,0.38336780667305,NA,NA
8,0.119763970375061,0.310194194316864,NA,NA
9,0.121721744537354,0.293935269117355,NA,NA
10,0.0676531940698624,0.232463926076889,NA,NA
11,0.0684024170041084,0.215027660131454,NA,NA
12,0.0452948585152626,0.151120439171791,NA,NA
13,0.0209572874009609,0.128299444913864,NA,NA
14,0.0169280450791121,0.0994411930441856,NA,NA
15,0.0123153533786535,0.0924807265400887,NA,NA
16,0.0425878167152405,0.158729150891304,NA,NA
17,0.0261155776679516,0.0950285196304321,NA,NA
18,0.0174514856189489,0.118531569838524,NA,NA
19,0.0348421223461628,0.139202073216438,NA,NA
20,0.017712390050292,0.120280139148235,NA,NA
21,0.0173147898167372,0.105441890656948,NA,NA
22,0.0199619494378567,0.101800985634327,NA,NA
23,0.0390668399631977,0.167128697037697,NA,NA
24,0.0283618308603764,0.135955691337585,NA,NA
25,0.00434179930016398,0.0539947636425495,NA,NA
26,0.0299092419445515,0.144726410508156,NA,NA
27,0.0242861304432154,0.129268988966942,NA,NA
28,0.00547607569023967,0.0510541163384914,NA,NA
29,0.00336154620163143,0.0503392145037651,NA,NA
30,0.026713652536273,0.128230139613152,NA,NA
31,0.0147979157045484,0.101978525519371,NA,NA
32,0.0148720964789391,0.0934066250920296,NA,NA
33,0.0196048449724913,0.101713731884956,NA,NA
34,0.0158497076481581,0.114105306565762,NA,NA
35,0.00864704884588718,0.0816192775964737,NA,NA
36,0.0123986173421144,0.101837806403637,NA,NA
37,0.00984818954020739,0.0854213386774063,NA,NA
38,0.021295215934515,0.111953891813755,NA,NA
39,0.016147343441844,0.120714165270329,NA,NA
40,0.0425802879035473,0.139714106917381,NA,NA
41,0.0233368556946516,0.131704598665237,NA,NA
42,0.0268809758126736,0.132293403148651,NA,NA
43,0.0395414233207703,0.14662803709507,NA,NA
44,0.0435468852519989,0.161104872822762,NA,NA
45,0.0154904155060649,0.102497115731239,NA,NA
46,0.0195921752601862,0.116855897009373,NA,NA
47,0.0230975560843945,0.113704614341259,NA,NA
48,0.009001056663692,0.079198956489563,NA,NA
49,0.0415965132415295,0.165251895785332,NA,NA
