"epoch","loss","mae","val_loss","val_mae"
1,0.65749454498291,0.776119887828827,NA,NA
2,0.627172648906708,0.761231243610382,NA,NA
3,0.547889351844788,0.709830939769745,NA,NA
4,0.522429883480072,0.689711570739746,NA,NA
5,0.473659604787827,0.661879777908325,NA,NA
6,0.463540822267532,0.647196114063263,NA,NA
7,0.378274708986282,0.589760959148407,NA,NA
8,0.368299126625061,0.573063910007477,NA,NA
9,0.29436594247818,0.510966002941132,NA,NA
10,0.261437028646469,0.480361223220825,NA,NA
11,0.214684426784515,0.437505573034286,NA,NA
12,0.210902690887451,0.429783254861832,NA,NA
13,0.164452090859413,0.379278898239136,NA,NA
14,0.134621649980545,0.348141640424728,NA,NA
15,0.11993295699358,0.316399693489075,NA,NA
16,0.0749863535165787,0.251673310995102,NA,NA
17,0.0646999329328537,0.210916876792908,NA,NA
18,0.0695035383105278,0.239273265004158,NA,NA
19,0.0731755718588829,0.233466103672981,NA,NA
20,0.0376276634633541,0.181302726268768,NA,NA
21,0.0139162736013532,0.0903686806559563,NA,NA
22,0.0208747312426567,0.104808367788792,NA,NA
23,0.0252338349819183,0.107537090778351,NA,NA
24,0.00839123409241438,0.0783539041876793,NA,NA
25,0.0566145665943623,0.206261113286018,NA,NA
26,0.0233144238591194,0.124516665935516,NA,NA
27,0.00808936823159456,0.0724423602223396,NA,NA
28,0.0112855946645141,0.0855630040168762,NA,NA
29,0.0110680190846324,0.0864210054278374,NA,NA
30,0.0166202187538147,0.119803868234158,NA,NA
31,0.0161981172859669,0.105040855705738,NA,NA
32,0.0298568308353424,0.142394319176674,NA,NA
33,0.0319043733179569,0.148871496319771,NA,NA
34,0.0048015583306551,0.0576447732746601,NA,NA
35,0.0253245402127504,0.12268540263176,NA,NA
36,0.0162654537707567,0.0942880287766457,NA,NA
37,0.00518103456124663,0.0576928444206715,NA,NA
38,0.0100588919594884,0.0794807970523834,NA,NA
39,0.0260492712259293,0.125910058617592,NA,NA
40,0.0368190556764603,0.176946222782135,NA,NA
41,0.00862566940486431,0.0864296332001686,NA,NA
42,0.00953206326812506,0.0871269032359123,NA,NA
43,0.00493637332692742,0.0526469238102436,NA,NA
44,0.0164136756211519,0.110406078398228,NA,NA
45,0.0273828376084566,0.111459903419018,NA,NA
46,0.0114702461287379,0.0933151319622993,NA,NA
47,0.0299404803663492,0.10916806012392,NA,NA
48,0.00765811651945114,0.0665842518210411,NA,NA
49,0.017571272328496,0.0954911485314369,NA,NA
50,0.017781114205718,0.107243843376637,NA,NA
51,0.0361918658018112,0.129727452993393,NA,NA
52,0.0140092382207513,0.112259484827518,NA,NA
53,0.0122755812481046,0.0938705280423164,NA,NA
54,0.00840255711227655,0.0738508328795433,NA,NA
