"epoch","loss","mae","val_loss","val_mae"
1,0.589174628257751,0.750105440616608,NA,NA
2,0.573034405708313,0.740573227405548,NA,NA
3,0.469533771276474,0.668146908283234,NA,NA
4,0.409420341253281,0.621240735054016,NA,NA
5,0.418890535831451,0.615895807743073,NA,NA
6,0.386598438024521,0.594682335853577,NA,NA
7,0.285810738801956,0.508435904979706,NA,NA
8,0.21880142390728,0.447711735963821,NA,NA
9,0.166925087571144,0.383913338184357,NA,NA
10,0.169786095619202,0.382027924060822,NA,NA
11,0.118224911391735,0.313994973897934,NA,NA
12,0.138955131173134,0.321869641542435,NA,NA
13,0.0792228430509567,0.254569590091705,NA,NA
14,0.0656112805008888,0.224682375788689,NA,NA
15,0.0351735912263393,0.163233056664467,NA,NA
16,0.0542920418083668,0.185617282986641,NA,NA
17,0.00837556179612875,0.0774347856640816,NA,NA
18,0.038771215826273,0.139501139521599,NA,NA
19,0.0198096595704556,0.102670170366764,NA,NA
20,0.0101882899180055,0.0714734941720963,NA,NA
21,0.0132025228813291,0.100464344024658,NA,NA
22,0.0249572079628706,0.143686875700951,NA,NA
23,0.0168051030486822,0.0964475497603416,NA,NA
24,0.0174339022487402,0.100197181105614,NA,NA
25,0.0171166937798262,0.0758957490324974,NA,NA
26,0.0211238674819469,0.109719529747963,NA,NA
27,0.010781048797071,0.0941291823983192,NA,NA
28,0.0310264434665442,0.150396794080734,NA,NA
29,0.0301139988005161,0.146612986922264,NA,NA
30,0.00467659486457705,0.0611466243863106,NA,NA
31,0.0454596094787121,0.166149884462357,NA,NA
32,0.0135460058227181,0.0802291482686996,NA,NA
33,0.00587346497923136,0.0667848810553551,NA,NA
34,0.0198534000664949,0.0938876196742058,NA,NA
35,0.0153550328686833,0.0969927683472633,NA,NA
36,0.0247371215373278,0.131088465452194,NA,NA
37,0.0397535301744938,0.148202255368233,NA,NA
38,0.0221274252980947,0.115297697484493,NA,NA
39,0.0111071588471532,0.0713336691260338,NA,NA
40,0.0250130593776703,0.114443205296993,NA,NA
41,0.0173270162194967,0.105740435421467,NA,NA
42,0.0197624824941158,0.130226254463196,NA,NA
43,0.0149647844955325,0.0830873996019363,NA,NA
44,0.0272195525467396,0.119891881942749,NA,NA
45,0.0218679662793875,0.112038515508175,NA,NA
46,0.0524568185210228,0.163581818342209,NA,NA
47,0.015700651332736,0.102323696017265,NA,NA
48,0.0280419737100601,0.12481202185154,NA,NA
49,0.00261940085329115,0.0403618216514587,NA,NA
50,0.0196688678115606,0.113909006118774,NA,NA
51,0.0322461575269699,0.160741940140724,NA,NA
52,0.0331422835588455,0.139673367142677,NA,NA
53,0.0257684588432312,0.119832873344421,NA,NA
54,0.0129827652126551,0.0884654298424721,NA,NA
55,0.0153013849630952,0.105954304337502,NA,NA
56,0.0318877771496773,0.151317194104195,NA,NA
57,0.00664997147396207,0.0652869194746017,NA,NA
58,0.0127343414351344,0.0927440524101257,NA,NA
59,0.0126431165263057,0.0966255068778992,NA,NA
60,0.0206659287214279,0.114651478827,NA,NA
61,0.0317933633923531,0.148044124245644,NA,NA
62,0.0123395333066583,0.0870506688952446,NA,NA
63,0.0239875521510839,0.0981962308287621,NA,NA
64,0.019954364746809,0.103228762745857,NA,NA
65,0.0183577928692102,0.117362804710865,NA,NA
66,0.0151449097320437,0.103846058249474,NA,NA
67,0.00758016342297196,0.0738754868507385,NA,NA
68,0.01459417399019,0.107369966804981,NA,NA
69,0.00844854768365622,0.0806775763630867,NA,NA
