"column","min","max","mean"
"Tahun",2014,2025,2019.5
"JHT",12894359909168,3.74e+13,25925923033331.6
"JKK",651069412058,2e+12,1281922307333.83
"JKM",455222622140,1.21e+12,803338484345
"JP",35813453239,4.05e+12,1583355844224.45
"JKP",29114934422,2.8e+11,158096386884.4
"BPJS",2512301201466,6.5e+12,4646018062097.25
